"Artifact_ID","Core","Class","Length","Width","Laminar_Index","MeanThick","Max_Thick","CarenIndex","Surf_Area","Surf_Thick","Angle_Lat_Marg","SDThick","CVThick","Weight","Curvature","Surface.Plat","Plat_Depth","Plat_Width","FlakeSurf_Plat","Plat_Prof","Plat_Prep","Cortex","Cortex_Loc","No_Scars","Long_Ridges","Termination_type","Trans_Section","Flake_Type","EPA","IPA","X_W_rat","IL_PS","Surf_ProxW"
"Disc_08_01","Discoid_08","D",40.4,31.4,1.28662420382166,4.66666666666667,7.1,4.42253521126761,1268.56,271.834285714286,-15.4322175991997,1.8263503375737,0.391360786622935,7.2,175.601042640048,7.68,2.4,6.4,165.177083333333,"RT","L",5,5,2,0,"Feather","Trapezoidal_Asymmetric","Backed Flake",76,120,3.140625,0.167529193205945,2.6171875
"Disc_08_02","Discoid_08","D",42.2,41.6,1.01442307692308,10.6666666666667,13,3.2,1755.52,164.58,8.61891932938114,2.32139804619735,0.217631066831002,23.03,174.862112551079,316,7.9,40,5.55544303797468,"CX","L",5,5,3,0,"Feather","Triangular","Flake",77,119,1.0275,0.00321019961051607,0.130063291139241
"Disc_08_03","Discoid_08","D",28.9,38.5,0.750649350649351,9.16666666666667,12.7,2.2755905511811,1112.65,121.38,1.43231989094082,2.8581268146968,0.311795652512378,11.82,180,210.625,12.5,33.7,5.28261127596439,"BF","D",5,5,3,0,"Feather","Trapezoidal","Flake",54,112,1.03560830860534,0.00356391383097614,0.165697329376855
"Disc_08_04","Discoid_08","D",58.6,39.4,1.48730964467005,11.9666666666667,16.6,2.37349397590361,2308.84,192.939275766017,-5.95885952182339,4.11528316833187,0.343895529387064,23.87,173.736213062198,33.06,5.7,11.6,69.837870538415,"CX","L",5,5,4,0,"Feather","Triangular","Flake",60,114,2.0948275862069,0.0449881925187553,0.73502722323049
"Disc_08_05","Discoid_08","D",41,35.1,1.16809116809117,11.3333333333333,15.4,2.27922077922078,1439.1,126.979411764706,10.125487069893,3.52640830811685,0.311153674245605,14.04,177.774641495085,60.8,4,15.2,23.6694078947368,"RT","L",5,5,3,0,"Feather","Triangular_Asymmetric","Backed Flake",56,115,1.99342105263158,0.0192120257909732,0.498355263157895
"Disc_08_06","Discoid_08","D",40.2,28,1.43571428571429,11.9333333333333,13.5,2.07407407407407,1125.6,94.3240223463687,3.89360871636533,1.74419672692682,0.146161736893309,10.27,176.480732279336,38.72,6.4,12.1,29.0702479338843,"RT","L",5,5,3,0,"Feather","Triangular_Asymmetric","Backed Flake",83,98,1.68595041322314,0.0370793978748524,0.526859504132231
"Disc_08_07","Discoid_08","D",36.8,30.7,1.19869706840391,8.4,10.5,2.92380952380952,1129.76,134.495238095238,-0.155694957217637,2.23755819291179,0.266375975346641,9.82,168.124938773786,35.09,5.8,12.1,32.1960672556284,"RT","L",5,5,2,0,"Feather","Triangular_Asymmetric","Backed Flake",75,120,2.31404958677686,0.0341606460075209,0.797948133371331
"Disc_08_08","Discoid_08","D",41.7,28.4,1.46830985915493,6.93333333333333,9.3,3.05376344086021,1184.28,170.809615384615,8.22981819647451,1.96015872373189,0.282715200538253,9.74,178.351086797238,109.51591990414,8.3,16.8,10.8137702814039,"CC","L",4,2,2,2,"Feather","Triangular","Flake",70,105,1.67857142857143,0.0134072732114212,0.257496809821655
"Disc_08_09","Discoid_08","D",46.7,27.8,1.67985611510791,6.66666666666667,7.1,3.91549295774648,1298.26,194.739,7.10683823956293,0.612825877028341,0.0919238815542512,10.28,170.654999318866,64.61,7.1,18.2,20.0937935304133,"CX","L",5,5,2,0,"Feather","Triangular_Asymmetric","Backed Flake",85,91,1.52747252747253,0.0259999398716594,0.430273951400712
"Disc_08_10","Discoid_08","D",49.2,23.1,2.12987012987013,7.73333333333333,10.1,2.28712871287129,1136.52,146.963793103448,-2.67797361095097,2.20050499254653,0.284548059381017,8.65,170.663032117303,49.58,7.4,13.4,22.9229528035498,"RT","L",5,5,3,0,"Feather","Triangular","Flake",77,110,1.35820895522388,0.0429582519134758,0.36708350141186
"Disc_08_11","Discoid_08","D",31.6,27.2,1.16176470588235,8.73333333333333,14.7,1.85034013605442,859.52,98.418320610687,17.0969947573408,4.56970701710976,0.523248895088904,6.47,177.823949395645,193.88,14.8,26.2,4.43325768516608,"CX","L",5,5,2,1,"Feather","Triangular","Flake",56,103,0.965648854961832,0.00599218437116955,0.130493088508356
"Disc_08_12","Discoid_08","D",67.5,36.6,1.84426229508197,8.36666666666667,11,3.32727272727273,2470.5,295.278884462151,-2.63761315014825,3.04448499567478,0.363882668805751,20.87,172.735574547817,49.245,4.9,12.6,50.1675296984465,"RT","L",5,5,4,0,"Feather","Triangular","Flake",73,109,1.69047619047619,0.0374507522607771,0.432531221443801
"Disc_08_13","Discoid_08","D",63,36.1,1.74515235457064,9.16666666666667,10.7,3.37383177570094,2274.3,248.105454545455,6.75378270638995,1.4613540144522,0.15942043794024,22.03,172.516023892796,59.89,5.3,16.6,37.9746201369177,"RT","L",5,5,5,0,"Feather","Triangular","Flake",66,119,1.71084337349398,0.0291392946163072,0.474202704959092
